unique_id,author_id,name,username,location,conversation_id,tweet_id,tweet_text,reply_to_tweet_id,tweet_created_at,sentiment,positive_score,neutral_score,negative_score,file_created_date,score,sentiment_desc
a00ca9cf-7163-416d-a766-8147630bd5d1,1739964018331168768,Pratyush Kiran Panda,pratyush_kiran_,Odisha,1738213282694221936,1742079005786784204,@BI_Prof_Bbsr Hame Pata hai e thoda improve kia jaa saktha hai,1738210505867882496,2024-01-02 12:32:55,neutral,0.45,0.53,0.03,2024-01-07 17:37:58,5.300000000000001,Positively Neutral
7780887e-fbf3-4ddd-9aff-119b6671af3c,1739964018331168768,Pratyush Kiran Panda,pratyush_kiran_,Odisha,1738213282694221936,1742077888470356215,@BI_Prof_Bbsr bad post,1738210505867882496,2024-01-02 12:28:29,negative,0.02,0.07,0.91,2024-01-07 17:37:58,9.1,Extremely Negative
be15a021-e683-4958-9450-4160e05465af,1739964018331168768,Pratyush Kiran Panda,pratyush_kiran_,Odisha,1738213282694221936,1742077841083129919,@BI_Prof_Bbsr good post,1738210505867882496,2024-01-02 12:28:18,positive,0.94,0.05,0.01,2024-01-07 17:37:58,9.399999999999999,Extremely Positive
436d6cb1-28d3-4d34-9c49-51040f7a783e,1739964018331168768,Pratyush Kiran Panda,pratyush_kiran_,Odisha,1738213282694221936,1742077815271424484,@BI_Prof_Bbsr i really love it... great tweet,1738210505867882496,2024-01-02 12:28:12,positive,0.98,0.02,0.0,2024-01-07 17:37:58,9.8,Extremely Positive
50e6572b-146b-4fe0-adc9-007a85b91c6c,1739964018331168768,Pratyush Kiran Panda,pratyush_kiran_,Odisha,1738213282694221936,1742077732018667931,@BI_Prof_Bbsr very misleading tweet... its completely not acceptable,1738210505867882496,2024-01-02 12:27:52,negative,0.01,0.06,0.93,2024-01-07 17:37:58,9.3,Extremely Negative
51db7ce7-0206-4a9b-a42c-59b7e1953185,1739964018331168768,Pratyush Kiran Panda,pratyush_kiran_,Odisha,1738213282694221936,1742077634715029827,"@BI_Prof_Bbsr तू किसी रेल सी गुज़रती है
मैं किसी पुल सा थरथराता हूँ",1738210505867882496,2024-01-02 12:27:29,neutral,0.16,0.8,0.05,2024-01-07 17:37:58,8.0,Neutral
074c4982-9794-4e91-9248-64a2bd20dfaf,1739964018331168768,Pratyush Kiran Panda,pratyush_kiran_,Odisha,1738213282694221936,1742069749507338627,@BI_Prof_Bbsr hello comment section,1738210505867882496,2024-01-02 11:56:09,neutral,0.19,0.79,0.02,2024-01-07 17:37:58,7.9,Positively Neutral
a95b4a6d-431f-497f-b2fd-75745505e1a5,1739964018331168768,Pratyush Kiran Panda,pratyush_kiran_,Odisha,1738213282694221936,1741827620658933884,@BI_Prof_Bbsr yet another comment for test... this posts are so resourseful,1738210505867882496,2024-01-01 19:54:01,neutral,0.1,0.63,0.27,2024-01-07 17:37:58,6.3,Negatively Neutral
a4e4baa4-f007-4a61-9ddb-5508b1e13899,4817852384,Satya ସତ୍ୟ🇮🇳,PinkuTruerider,ODISHA,1738215413081927917,1741539749570211925,@BI_Prof_Bbsr Testing...,1738210505867882496,2024-01-01 00:50:07,neutral,0.14,0.84,0.03,2024-01-07 17:37:58,8.4,Neutral
8409ce5f-9b9e-4d39-a696-3646d5c7bdf6,4817852384,Satya ସତ୍ୟ🇮🇳,PinkuTruerider,ODISHA,1738213282694221936,1741181047793127906,@BI_Prof_Bbsr Test Comment for checking X-api v2,1738210505867882496,2023-12-31 01:04:46,neutral,0.05,0.94,0.01,2024-01-07 17:37:58,9.399999999999999,Neutral
d43cbd1d-addc-4183-8478-ce90751f9c8d,1739964018331168768,Pratyush Kiran Panda,pratyush_kiran_,Odisha,1738213282694221936,1740716895568101760,@BI_Prof_Bbsr comment on second thread,1738210505867882496,2023-12-29 18:20:23,neutral,0.04,0.95,0.01,2024-01-07 17:37:58,9.5,Neutral
da1ed92e-fd68-428e-8086-57b7a25c63ac,1739964018331168768,Pratyush Kiran Panda,pratyush_kiran_,Odisha,1738215413081927917,1740712909058331113,@BI_Prof_Bbsr retweeting to this tweet,1738210505867882496,2023-12-29 18:04:33,neutral,0.18,0.81,0.02,2024-01-07 17:37:58,8.100000000000001,Neutral
bde14620-31a8-42ce-8876-8a81e52a2428,1739964018331168768,Pratyush Kiran Panda,pratyush_kiran_,Odisha,1738215413081927917,1740712743601389634,@BI_Prof_Bbsr comment 1,1738210505867882496,2023-12-29 18:03:53,neutral,0.09,0.89,0.02,2024-01-07 17:37:58,8.9,Neutral
cf0fe455-5818-4e77-bbef-a644d1bb72db,1717303664304402432,Wurster Jaleel,JaleelWurs81674,N/A,1738400479338549315,1738400479338549315,出社せずにいつでもどこでもできるネットアルバイト+ LINE fgd2b @Sil2006Souvik @KL5888 @state88965 @Ab_seerat @Esbam_360 @vinaykumarbhati @Rishabh841 @BI_Prof_Bbsr @o_jurunense @BMilkias @thekarmapolicee @billyfulton08 @Brianc_Ed @qube115 @WrecklessGamer @RenoRedSox,N/A,2023-12-23 08:55:46,neutral,0.11,0.85,0.04,2024-01-07 17:37:58,8.5,Neutral
